Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 1986,Appling,0,0,0,0,10,26,0
January 1986,Atkinson,0,0,0,3,1,0,0
January 1986,Bacon,0,1,3,0,15,14,0
January 1986,Baker,0,0,0,1,0,1,0
January 1986,Baldwin,1,3,2,13,44,79,6
January 1986,Banks,0,0,0,0,13,4,0
January 1986,Barrow,2,2,1,4,20,52,8
January 1986,Bartow,1,0,0,0,34,63,10
January 1986,Ben Hill,0,1,4,4,33,44,1
January 1986,Berrien,0,0,1,0,10,4,1
January 1986,Bibb,2,6,24,25,166,437,62
January 1986,Bleckley,1,0,0,2,3,9,0
January 1986,Brantley,0,0,0,0,4,6,0
January 1986,Brooks,0,0,0,1,5,3,1
January 1986,Bryan,0,0,0,3,5,14,6
January 1986,Bulloch,1,0,2,5,34,75,2
January 1986,Burke,0,0,0,12,18,33,3
January 1986,Butts,0,0,2,0,9,10,1
January 1986,Calhoun,0,0,0,2,4,2,0
January 1986,Camden,1,0,2,6,19,36,1
January 1986,Candler,0,0,0,1,2,9,4
January 1986,Carroll,2,2,3,10,46,141,13
January 1986,Catoosa,0,0,2,1,18,36,7
January 1986,Charlton,0,0,0,0,2,3,0
January 1986,Chatham,3,8,67,37,431,791,62
January 1986,Chattahoochee,0,0,0,0,1,0,0
January 1986,Chattooga,0,1,3,2,27,33,8
January 1986,Cherokee,0,3,0,12,74,74,17
January 1986,Clarke,0,8,10,32,110,342,28
January 1986,Clay,1,0,0,0,1,0,0
January 1986,Clayton,2,3,12,24,186,350,62
January 1986,Clinch,0,0,0,0,8,2,0
January 1986,Cobb,1,4,51,27,313,714,175
January 1986,Coffee,0,1,2,8,18,66,4
January 1986,Colquitt,1,1,3,4,41,76,2
January 1986,Columbia,0,0,3,3,26,50,8
January 1986,Cook,0,0,1,2,10,16,0
January 1986,Coweta,0,0,3,1,39,55,5
January 1986,Crawford,0,0,1,0,9,5,0
January 1986,Crisp,0,0,4,16,44,79,5
January 1986,Dade,0,0,0,0,5,10,3
January 1986,Dawson,0,0,0,1,13,5,2
January 1986,Decatur,0,1,0,4,17,41,0
January 1986,Dekalb,2,18,141,57,830,1700,377
January 1986,Dodge,0,0,0,0,3,2,1
January 1986,Dooly,0,0,0,0,0,0,0
January 1986,Dougherty,0,7,38,47,222,286,18
January 1986,Douglas,1,1,4,10,56,127,23
January 1986,Early,0,0,0,2,2,15,0
January 1986,Echols,0,0,0,0,1,0,0
January 1986,Effingham,0,0,1,1,17,19,1
January 1986,Elbert,0,0,0,14,9,43,0
January 1986,Emanuel,1,0,0,3,22,14,2
January 1986,Evans,0,0,0,0,3,0,0
January 1986,Fannin,0,0,0,2,10,2,0
January 1986,Fayette,0,2,2,5,31,40,3
January 1986,Floyd,0,2,10,13,59,141,16
January 1986,Forsyth,0,1,1,2,23,59,8
January 1986,Franklin,0,1,1,3,11,6,2
January 1986,Fulton,11,48,672,514,1624,3226,592
January 1986,Gilmer,0,0,0,0,11,5,1
January 1986,Glascock,0,0,0,0,0,1,0
January 1986,Glynn,0,2,18,48,113,254,15
January 1986,Gordon,0,0,0,5,38,50,5
January 1986,Grady,0,0,0,0,6,15,2
January 1986,Greene,0,1,0,0,4,1,0
January 1986,Gwinnett,0,3,22,45,273,597,91
January 1986,Habersham,0,0,0,1,1,1,1
January 1986,Hall,0,1,10,11,81,144,21
January 1986,Hancock,0,0,0,0,3,0,0
January 1986,Haralson,0,0,5,2,13,14,4
January 1986,Harris,0,0,2,2,17,9,2
January 1986,Hart,0,0,0,3,11,13,0
January 1986,Heard,0,0,0,0,2,3,1
January 1986,Henry,0,1,1,6,21,63,12
January 1986,Houston,0,0,5,17,73,129,7
January 1986,Irwin,0,0,2,0,3,18,0
January 1986,Jackson,0,1,1,5,27,20,5
January 1986,Jasper,0,0,2,1,6,3,0
January 1986,Jeff Davis,0,0,1,3,7,5,5
January 1986,Jefferson,0,1,0,4,8,11,2
January 1986,Jenkins,0,1,1,1,4,5,0
January 1986,Johnson,0,0,0,2,0,0,0
January 1986,Jones,0,0,0,0,13,10,4
January 1986,Lamar,0,0,2,0,22,12,0
January 1986,Lanier,0,0,1,4,2,6,0
January 1986,Laurens,0,1,4,10,28,83,4
January 1986,Lee,0,0,0,1,3,4,1
January 1986,Liberty,1,1,6,13,38,77,5
January 1986,Lincoln,2,1,0,0,0,1,0
January 1986,Long,0,0,0,0,1,0,0
January 1986,Lowndes,0,9,0,0,168,236,17
January 1986,Lumpkin,0,0,0,0,1,3,2
January 1986,Macon,0,0,1,3,7,7,0
January 1986,Madison,0,0,0,2,9,6,1
January 1986,Marion,0,0,0,0,1,0,0
January 1986,McDuffie,0,0,0,0,6,11,0
January 1986,McIntosh,0,0,1,2,12,8,0
January 1986,Meriwether,0,0,0,0,2,6,0
January 1986,Miller,0,0,0,1,1,1,0
January 1986,Mitchell,1,0,1,11,10,34,2
January 1986,Monroe,0,0,1,1,15,18,3
January 1986,Montgomery,0,0,0,0,0,1,0
January 1986,Morgan,1,0,0,2,14,9,5
January 1986,Murray,0,0,1,1,25,13,7
January 1986,Muscogee,3,8,33,31,186,459,69
January 1986,Newton,0,1,0,8,37,58,6
January 1986,Oconee,0,0,0,0,4,3,1
January 1986,Oglethorpe,0,0,0,1,5,4,0
January 1986,Paulding,0,0,0,2,28,25,5
January 1986,Peach,1,1,1,0,6,10,0
January 1986,Pickens,0,0,0,0,7,2,2
January 1986,Pierce,0,0,0,0,3,5,0
January 1986,Pike,0,0,0,0,4,4,0
January 1986,Polk,0,1,4,3,29,37,6
January 1986,Pulaski,0,0,0,0,5,8,1
January 1986,Putnam,0,0,0,2,9,9,1
January 1986,Quitman,0,0,0,0,0,0,0
January 1986,Rabun,0,0,0,1,10,3,1
January 1986,Randolph,0,0,1,0,9,9,0
January 1986,Richmond,0,4,55,35,327,575,68
January 1986,Rockdale,0,0,2,11,34,75,9
January 1986,Schley,0,0,0,0,2,1,0
January 1986,Screven,0,0,3,5,6,7,1
January 1986,Seminole,0,0,3,4,4,9,1
January 1986,Spalding,1,3,9,18,77,127,17
January 1986,Stephens,0,2,2,2,9,24,2
January 1986,Stewart,0,0,1,1,9,1,1
January 1986,Sumter,0,0,1,6,38,53,1
January 1986,Talbot,0,0,0,0,4,2,4
January 1986,Taliaferro,0,0,1,0,1,2,0
January 1986,Tattnall,0,0,0,2,4,3,0
January 1986,Taylor,0,0,3,0,3,2,0
January 1986,Telfair,0,0,0,0,2,4,0
January 1986,Terrell,0,1,0,2,8,12,1
