Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 1989,Appling,0,0,0,2,11,27,0
January 1989,Atkinson,0,0,0,1,3,9,1
January 1989,Bacon,0,1,0,4,11,14,0
January 1989,Baker,0,0,0,0,0,0,0
January 1989,Baldwin,0,2,6,13,63,111,9
January 1989,Banks,0,0,0,1,7,4,0
January 1989,Barrow,1,1,0,4,30,48,8
January 1989,Bartow,1,0,6,9,70,81,18
January 1989,Ben Hill,0,0,1,5,21,35,4
January 1989,Berrien,0,0,0,1,5,18,0
January 1989,Bibb,3,9,35,54,243,672,71
January 1989,Bleckley,0,1,0,2,3,8,0
January 1989,Brantley,0,0,0,1,1,8,1
January 1989,Brooks,0,0,1,1,4,8,3
January 1989,Bryan,0,0,1,7,19,29,4
January 1989,Bulloch,1,1,1,9,23,105,3
January 1989,Burke,0,2,5,9,33,45,6
January 1989,Butts,0,0,1,0,6,11,9
January 1989,Calhoun,0,0,0,3,5,6,0
January 1989,Camden,0,0,3,6,64,46,5
January 1989,Candler,0,0,2,0,5,5,0
January 1989,Carroll,0,0,2,14,79,205,21
January 1989,Catoosa,0,0,1,2,15,59,8
January 1989,Charlton,0,0,0,2,1,3,1
January 1989,Chatham,0,22,60,60,312,965,64
January 1989,Chattahoochee,0,0,0,0,3,1,0
January 1989,Chattooga,0,0,1,3,18,31,11
January 1989,Cherokee,0,1,5,14,90,136,25
January 1989,Clarke,2,5,18,25,200,300,36
January 1989,Clay,0,0,0,0,0,1,0
January 1989,Clayton,1,3,48,43,325,815,127
January 1989,Clinch,0,0,0,0,1,3,0
January 1989,Cobb,7,7,65,65,422,1189,207
January 1989,Coffee,1,1,3,14,31,72,14
January 1989,Colquitt,0,2,8,20,70,54,8
January 1989,Columbia,0,0,0,6,51,43,6
January 1989,Cook,0,0,3,2,22,28,2
January 1989,Coweta,0,0,4,4,26,53,5
January 1989,Crawford,0,0,0,0,4,4,1
January 1989,Crisp,0,1,13,24,42,88,3
January 1989,Dade,0,0,0,3,12,7,7
January 1989,Dawson,0,0,0,0,14,16,3
January 1989,Decatur,0,1,1,13,41,78,10
January 1989,Dekalb,1,26,199,94,964,2254,599
January 1989,Dodge,0,0,1,1,12,23,2
January 1989,Dooly,0,0,1,5,9,9,3
January 1989,Dougherty,2,12,70,14,448,489,53
January 1989,Douglas,0,2,4,4,53,146,16
January 1989,Early,0,0,0,7,8,16,1
January 1989,Echols,0,0,0,0,1,1,0
January 1989,Effingham,0,0,0,2,11,21,1
January 1989,Elbert,0,0,0,5,22,27,1
January 1989,Emanuel,0,0,3,1,24,26,1
January 1989,Evans,1,0,0,0,3,8,0
January 1989,Fannin,0,0,1,2,19,14,4
January 1989,Fayette,0,0,2,2,33,60,5
January 1989,Floyd,1,4,9,19,115,225,38
January 1989,Forsyth,0,0,0,4,60,134,23
January 1989,Franklin,1,0,3,0,16,1,3
January 1989,Fulton,23,53,696,770,1602,4019,964
January 1989,Gilmer,0,0,0,0,1,7,3
January 1989,Glascock,0,0,0,0,0,0,0
January 1989,Glynn,1,2,12,53,136,223,49
January 1989,Gordon,0,0,2,13,78,93,8
January 1989,Grady,0,2,0,6,45,46,5
January 1989,Greene,0,0,1,1,14,8,1
January 1989,Gwinnett,0,16,54,55,352,1215,175
January 1989,Habersham,2,0,0,2,1,7,0
January 1989,Hall,2,2,17,18,132,291,33
January 1989,Hancock,0,0,1,1,1,2,1
January 1989,Haralson,0,1,0,2,14,22,0
January 1989,Harris,0,1,0,2,13,17,3
January 1989,Hart,0,0,1,0,7,9,0
January 1989,Heard,0,0,0,0,3,5,0
January 1989,Henry,0,2,5,3,33,57,9
January 1989,Houston,0,1,9,28,110,218,27
January 1989,Irwin,0,0,0,2,2,30,0
January 1989,Jackson,1,0,1,5,36,47,3
January 1989,Jasper,0,0,0,0,5,4,0
January 1989,Jeff Davis,1,0,0,4,3,17,1
January 1989,Jefferson,1,0,1,1,16,7,2
January 1989,Jenkins,0,0,0,1,4,7,1
January 1989,Johnson,0,0,0,0,2,2,0
January 1989,Jones,0,0,0,2,14,13,6
January 1989,Lamar,1,0,0,2,12,20,0
January 1989,Lanier,1,0,0,0,5,3,2
January 1989,Laurens,2,1,2,11,66,119,12
January 1989,Lee,0,1,1,3,16,12,1
January 1989,Liberty,0,2,2,8,25,95,6
January 1989,Lincoln,0,0,0,0,0,9,0
January 1989,Long,0,0,0,0,4,6,0
January 1989,Lowndes,0,2,12,13,144,226,40
January 1989,Lumpkin,1,0,0,1,4,19,1
January 1989,Macon,0,1,1,4,15,32,0
January 1989,Madison,0,0,0,0,9,11,2
January 1989,Marion,0,0,0,0,1,2,0
January 1989,McDuffie,0,0,1,1,4,7,0
January 1989,McIntosh,1,1,0,3,8,5,1
January 1989,Meriwether,0,0,0,3,7,6,0
January 1989,Miller,0,0,0,0,2,1,0
January 1989,Mitchell,0,0,0,5,18,24,1
January 1989,Monroe,2,0,2,8,24,36,8
January 1989,Montgomery,0,0,0,0,4,2,0
January 1989,Morgan,0,0,1,5,15,11,2
January 1989,Murray,0,0,1,1,25,25,5
January 1989,Muscogee,0,6,21,21,200,474,47
January 1989,Newton,0,0,6,9,49,93,8
January 1989,Oconee,0,0,0,1,14,8,0
January 1989,Oglethorpe,0,0,0,1,7,5,1
January 1989,Paulding,0,1,1,9,73,45,5
January 1989,Peach,0,0,2,3,12,19,4
January 1989,Pickens,0,0,0,0,3,3,0
January 1989,Pierce,1,0,2,5,10,17,0
January 1989,Pike,0,0,0,0,3,1,0
January 1989,Polk,0,1,3,3,41,43,9
January 1989,Pulaski,0,0,0,1,10,8,1
January 1989,Putnam,0,0,0,3,9,10,1
January 1989,Quitman,0,0,1,0,0,3,0
January 1989,Rabun,1,0,0,0,13,5,2
January 1989,Randolph,0,0,0,1,4,10,1
January 1989,Richmond,2,6,77,42,344,677,105
January 1989,Rockdale,1,2,4,11,46,195,8
January 1989,Schley,1,0,0,0,3,0,0
January 1989,Screven,0,0,0,3,9,14,3
January 1989,Seminole,0,0,0,0,7,18,0
January 1989,Spalding,0,2,12,26,66,185,18
January 1989,Stephens,0,0,0,4,19,37,1
January 1989,Stewart,0,0,0,0,1,2,0
January 1989,Sumter,1,0,3,8,26,97,6
January 1989,Talbot,0,0,0,0,13,4,0
January 1989,Taliaferro,0,0,0,1,1,1,1
January 1989,Tattnall,0,1,0,1,10,11,1
January 1989,Taylor,0,0,0,0,0,1,0
January 1989,Telfair,0,0,1,2,5,7,1
January 1989,Terrell,0,0,2,0,8,11,2
January 1989,Thomas,2,0,10,15,47,74,7
January 1989,Tift,1,2,15,34,70,139,13
January 1989,Toombs,1,1,1,11,14,23,0
January 1989,Towns,0,0,0,0,0,1,0
January 1989,Treutlen,0,0,0,0,1,3,0
January 1989,Troup,0,2,6,13,88,148,17
January 1989,Turner,0,0,0,3,4,5,1
