Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 1984,Appling,0,0,0,1,5,17,3
January 1984,Atkinson,0,0,0,2,2,1,0
January 1984,Bacon,0,1,0,0,5,5,0
January 1984,Baker,0,0,0,0,0,0,0
January 1984,Baldwin,0,0,1,7,37,60,4
January 1984,Banks,0,0,0,0,7,6,1
January 1984,Barrow,0,0,0,4,19,33,5
January 1984,Bartow,0,0,3,5,25,60,8
January 1984,Ben Hill,0,1,0,2,17,25,2
January 1984,Berrien,0,0,1,2,8,10,0
January 1984,Bibb,5,5,15,40,174,477,45
January 1984,Bleckley,0,0,0,0,6,3,0
January 1984,Brantley,0,0,0,2,5,8,0
January 1984,Brooks,0,0,2,2,25,11,0
January 1984,Bryan,0,0,1,3,7,20,2
January 1984,Bulloch,1,1,6,8,19,68,2
January 1984,Burke,0,0,2,11,17,23,1
January 1984,Butts,0,0,1,0,8,7,0
January 1984,Calhoun,0,0,0,1,7,3,0
January 1984,Camden,0,0,0,3,19,20,1
January 1984,Candler,0,0,0,0,0,0,0
January 1984,Carroll,0,0,3,11,78,136,14
January 1984,Catoosa,0,0,0,2,6,19,5
January 1984,Charlton,1,0,1,1,8,13,0
January 1984,Chatham,4,7,58,53,401,715,55
January 1984,Chattahoochee,0,0,0,0,0,0,0
January 1984,Chattooga,0,0,1,0,18,11,4
January 1984,Cherokee,0,0,3,6,38,46,11
January 1984,Clarke,0,2,8,25,99,295,7
January 1984,Clay,0,0,0,0,0,0,0
January 1984,Clayton,0,3,21,20,182,401,62
January 1984,Clinch,0,0,0,0,3,2,0
January 1984,Cobb,1,8,18,56,395,723,126
January 1984,Coffee,0,3,0,7,18,43,3
January 1984,Colquitt,1,0,3,4,32,58,2
January 1984,Columbia,0,0,1,6,35,47,7
January 1984,Cook,0,0,1,2,8,11,0
January 1984,Coweta,0,0,1,2,40,56,5
January 1984,Crawford,0,0,0,1,8,1,0
January 1984,Crisp,0,0,3,15,24,57,9
January 1984,Dade,0,0,0,1,6,4,4
January 1984,Dawson,0,0,0,1,5,6,2
January 1984,Decatur,2,2,2,4,20,49,3
January 1984,Dekalb,1,17,69,46,565,1167,187
January 1984,Dodge,0,0,0,0,6,3,1
January 1984,Dooly,0,0,0,0,1,0,0
January 1984,Dougherty,2,12,14,38,180,236,18
January 1984,Douglas,0,4,1,3,40,94,11
January 1984,Early,0,0,0,7,9,10,1
January 1984,Echols,0,0,0,0,0,0,1
January 1984,Effingham,0,0,0,2,12,10,1
January 1984,Elbert,0,0,0,2,6,10,4
January 1984,Emanuel,0,0,0,6,5,9,1
January 1984,Evans,0,0,0,0,0,1,0
January 1984,Fannin,0,0,0,0,8,7,0
January 1984,Fayette,0,0,2,1,32,32,2
January 1984,Floyd,0,0,3,6,94,97,9
January 1984,Forsyth,1,0,2,3,31,37,6
January 1984,Franklin,0,0,1,0,9,6,2
January 1984,Fulton,5,43,359,404,1327,2707,376
January 1984,Gilmer,0,0,0,0,2,6,1
January 1984,Glascock,0,0,0,0,0,0,0
January 1984,Glynn,1,7,13,37,126,208,26
January 1984,Gordon,0,0,1,3,21,38,6
January 1984,Grady,0,0,3,0,7,3,1
January 1984,Greene,0,0,0,0,8,8,1
January 1984,Gwinnett,0,3,7,33,166,317,53
January 1984,Habersham,0,0,0,0,5,1,0
January 1984,Hall,2,1,2,12,91,136,19
January 1984,Hancock,0,0,0,0,1,0,0
January 1984,Haralson,0,0,0,2,8,20,2
January 1984,Harris,0,0,0,1,11,13,1
January 1984,Hart,0,0,0,1,6,10,1
January 1984,Heard,1,0,0,0,1,1,0
January 1984,Henry,0,0,3,4,27,46,8
January 1984,Houston,1,0,2,10,83,116,13
January 1984,Irwin,0,0,1,1,9,10,0
January 1984,Jackson,0,1,0,2,22,11,3
January 1984,Jasper,0,0,0,0,6,2,1
January 1984,Jeff Davis,0,0,0,0,3,12,1
January 1984,Jefferson,0,2,1,2,9,6,0
January 1984,Jenkins,0,0,0,2,3,4,1
January 1984,Johnson,0,0,0,0,0,0,0
January 1984,Jones,0,0,0,0,2,1,0
January 1984,Lamar,0,0,0,1,4,13,2
January 1984,Lanier,0,1,0,3,13,19,2
January 1984,Laurens,0,1,6,6,23,61,5
January 1984,Lee,0,0,0,1,5,14,1
January 1984,Liberty,0,1,0,9,37,48,4
January 1984,Lincoln,0,0,0,0,6,6,0
January 1984,Long,0,0,0,0,0,0,0
January 1984,Lowndes,2,1,0,1,103,193,7
January 1984,Lumpkin,0,0,0,0,7,4,0
January 1984,Macon,1,0,1,0,10,8,1
January 1984,Madison,0,0,0,2,6,6,4
January 1984,Marion,0,0,0,0,0,0,0
January 1984,McDuffie,0,0,0,1,9,9,0
January 1984,McIntosh,0,0,0,1,5,6,1
January 1984,Meriwether,0,2,0,2,19,11,1
January 1984,Miller,0,0,0,0,5,6,0
January 1984,Mitchell,0,0,0,5,21,21,1
January 1984,Monroe,0,1,0,4,18,19,5
