Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 1987,Appling,1,0,1,1,16,13,2
January 1987,Atkinson,1,0,0,0,2,0,0
January 1987,Bacon,0,0,0,0,15,20,0
January 1987,Baker,0,0,0,0,1,0,0
January 1987,Baldwin,0,1,1,7,53,79,8
January 1987,Banks,0,0,1,0,4,2,0
January 1987,Barrow,0,0,1,7,23,38,3
January 1987,Bartow,1,0,0,2,37,56,9
January 1987,Ben Hill,0,0,1,4,18,49,2
January 1987,Berrien,0,1,0,3,12,17,0
January 1987,Bibb,1,4,20,19,229,459,61
January 1987,Bleckley,0,1,0,0,0,5,0
January 1987,Brantley,0,0,0,2,4,3,0
January 1987,Brooks,0,0,0,1,3,0,0
January 1987,Bryan,0,1,0,2,9,22,0
January 1987,Bulloch,0,0,1,6,36,77,2
January 1987,Burke,1,0,2,10,40,13,5
January 1987,Butts,0,0,0,1,5,10,0
January 1987,Calhoun,0,0,0,0,1,9,0
January 1987,Camden,0,2,1,4,14,37,4
January 1987,Candler,0,1,0,0,4,4,0
January 1987,Carroll,0,3,6,11,73,124,9
January 1987,Catoosa,0,0,0,3,24,56,11
January 1987,Charlton,0,0,1,0,7,14,6
January 1987,Chatham,2,2,37,11,378,795,52
January 1987,Chattahoochee,0,0,0,0,0,3,0
January 1987,Chattooga,3,0,0,2,16,22,4
January 1987,Cherokee,0,1,2,7,67,118,19
January 1987,Clarke,0,2,6,29,139,276,26
January 1987,Clay,0,0,0,0,3,0,0
January 1987,Clayton,1,1,23,18,220,405,87
January 1987,Clinch,1,1,0,0,1,0,1
January 1987,Cobb,3,5,45,24,371,908,182
January 1987,Coffee,0,1,9,4,24,69,5
January 1987,Colquitt,2,0,6,5,40,59,8
January 1987,Columbia,0,0,3,8,40,57,7
January 1987,Cook,0,2,1,3,13,15,0
January 1987,Coweta,0,0,1,5,61,58,10
January 1987,Crawford,0,0,0,0,6,7,0
January 1987,Crisp,1,0,6,15,49,70,2
January 1987,Dade,0,0,0,1,3,6,5
January 1987,Dawson,0,0,0,1,5,12,2
January 1987,Decatur,0,1,4,9,11,25,0
January 1987,Dekalb,2,26,147,52,1076,1901,503
January 1987,Dodge,0,0,0,0,6,7,0
January 1987,Dooly,0,0,2,1,6,4,1
January 1987,Dougherty,1,4,34,41,226,228,44
January 1987,Douglas,0,2,8,13,65,113,24
January 1987,Early,0,0,0,2,8,11,2
January 1987,Echols,0,0,0,0,0,1,0
January 1987,Effingham,1,1,0,4,22,14,1
January 1987,Elbert,0,0,1,6,10,25,2
January 1987,Emanuel,0,2,0,4,13,21,2
January 1987,Evans,0,0,0,0,5,5,0
January 1987,Fannin,0,0,1,1,8,5,1
January 1987,Fayette,0,0,1,6,38,47,5
January 1987,Floyd,1,3,7,8,128,190,19
January 1987,Forsyth,0,0,0,5,36,49,11
January 1987,Franklin,0,2,0,2,19,14,0
January 1987,Fulton,26,52,521,622,1735,3365,837
January 1987,Gilmer,0,0,0,0,2,8,0
January 1987,Glascock,0,0,0,0,0,0,0
January 1987,Glynn,1,4,7,55,100,277,11
January 1987,Gordon,0,0,0,2,24,43,9
January 1987,Grady,0,0,1,2,9,27,2
January 1987,Greene,0,0,0,3,6,7,1
January 1987,Gwinnett,1,4,22,43,318,759,96
January 1987,Habersham,0,0,0,0,2,5,3
January 1987,Hall,0,4,4,25,75,200,22
January 1987,Hancock,0,0,0,0,1,1,0
January 1987,Haralson,0,1,0,5,11,18,5
January 1987,Harris,0,1,0,1,22,8,1
January 1987,Hart,1,0,0,1,15,16,1
January 1987,Heard,0,0,0,0,6,5,0
January 1987,Henry,0,0,0,1,56,92,13
January 1987,Houston,1,4,10,18,160,204,24
January 1987,Irwin,0,0,2,2,12,12,2
January 1987,Jackson,0,0,2,3,19,17,2
January 1987,Jasper,1,0,0,1,7,4,0
January 1987,Jeff Davis,0,0,1,0,36,6,1
January 1987,Jefferson,0,1,1,1,6,10,1
January 1987,Jenkins,0,0,1,0,12,8,0
January 1987,Johnson,0,0,0,0,4,4,0
January 1987,Jones,0,0,0,1,14,5,1
January 1987,Lamar,0,0,0,1,9,12,3
January 1987,Lanier,0,0,0,1,2,7,0
January 1987,Laurens,1,0,5,13,26,68,7
January 1987,Lee,0,0,0,3,4,5,1
January 1987,Liberty,1,3,2,9,71,78,5
January 1987,Lincoln,0,0,0,1,3,4,0
January 1987,Long,0,0,0,0,3,0,0
January 1987,Lowndes,2,3,18,46,268,333,32
January 1987,Lumpkin,0,0,0,2,1,9,2
January 1987,Macon,0,0,0,3,15,7,0
January 1987,Madison,0,0,1,1,15,14,0
January 1987,Marion,0,0,0,1,3,2,0
January 1987,McDuffie,1,0,0,0,5,5,1
January 1987,McIntosh,0,0,0,1,10,15,0
January 1987,Meriwether,0,0,2,0,3,8,1
January 1987,Miller,0,0,1,0,2,2,0
January 1987,Mitchell,0,0,2,7,27,24,2
January 1987,Monroe,0,0,1,4,16,28,5
January 1987,Montgomery,0,0,0,0,0,0,0
January 1987,Morgan,0,0,2,1,12,2,2
January 1987,Murray,0,0,0,2,9,16,6
January 1987,Muscogee,0,4,26,29,208,452,40
January 1987,Newton,0,3,4,5,49,120,7
January 1987,Oconee,0,0,2,1,10,4,1
January 1987,Oglethorpe,0,0,0,2,4,8,1
January 1987,Paulding,0,1,0,5,23,21,3
January 1987,Peach,0,0,0,1,13,7,1
January 1987,Pickens,0,0,0,0,4,6,1
January 1987,Pierce,0,0,0,3,5,3,0
January 1987,Pike,0,0,1,0,2,1,0
January 1987,Polk,0,1,0,3,36,49,6
January 1987,Pulaski,0,0,0,1,4,7,1
January 1987,Putnam,0,0,0,2,7,6,0
January 1987,Quitman,0,0,0,0,0,0,0
January 1987,Rabun,0,0,0,1,10,6,2
January 1987,Randolph,0,0,0,0,3,8,1
January 1987,Richmond,2,8,47,28,321,542,64
January 1987,Rockdale,0,4,4,11,65,152,14
January 1987,Schley,0,0,0,0,0,1,0
January 1987,Screven,0,0,1,2,7,15,0
January 1987,Seminole,0,0,0,1,13,8,0
January 1987,Spalding,0,3,5,22,69,142,11
January 1987,Stephens,0,3,0,0,12,22,1
January 1987,Stewart,0,0,1,4,1,0,1
January 1987,Sumter,0,0,1,15,49,70,0
January 1987,Talbot,0,0,0,0,1,0,0
January 1987,Taliaferro,0,0,0,0,4,1,0
January 1987,Tattnall,0,0,0,1,5,14,2
January 1987,Taylor,0,0,0,0,3,1,0
January 1987,Telfair,0,0,0,0,0,2,0
January 1987,Terrell,2,0,0,2,11,11,1
January 1987,Thomas,1,1,11,8,59,91,8
January 1987,Tift,0,1,8,13,47,98,16
January 1987,Toombs,0,0,0,2,20,8,1
January 1987,Towns,0,0,0,0,1,0,0
January 1987,Treutlen,0,0,0,1,4,6,0
January 1987,Troup,2,1,6,26,76,161,12
January 1987,Turner,0,0,0,1,8,10,0
January 1987,Twiggs,1,0,0,0,3,2,0
January 1987,Union,0,0,0,0,0,0,0
January 1987,Upson,0,0,0,8,14,31,1
January 1987,Walker,0,1,2,6,44,50,11
January 1987,Walton,0,0,1,5,31,43,6
January 1987,Ware,0,1,8,8,45,87,12
January 1987,Warren,0,0,0,0,0,0,0
January 1987,Washington,1,0,2,2,17,28,5
January 1987,Wayne,0,0,0,0,0,2,0
January 1987,Webster,0,0,0,2,0,1,0
January 1987,Wheeler,0,0,0,0,0,0,0
January 1987,White,0,0,0,3,3,11,1
January 1987,Whitfield,0,2,7,9,70,179,25
January 1987,Wilcox,0,0,0,0,3,2,0
January 1987,Wilkes,0,0,0,1,3,12,1
January 1987,Wilkinson,0,0,0,0,4,6,0
January 1987,Worth,0,0,0,1,30,18,3
February 1987,Appling,0,0,1,1,9,15,0
February 1987,Atkinson,0,0,0,0,1,0,0
February 1987,Bacon,0,0,0,1,8,11,1
February 1987,Baker,0,0,0,0,0,0,0
February 1987,Baldwin,0,0,0,8,44,63,11
February 1987,Banks,0,0,0,0,3,1,0
February 1987,Barrow,0,0,1,0,18,42,3
February 1987,Bartow,0,0,3,1,37,49,11
February 1987,Ben Hill,0,0,2,5,18,26,2
February 1987,Berrien,0,0,0,0,9,7,1
February 1987,Bibb,2,6,12,26,205,448,46
February 1987,Bleckley,0,0,0,0,2,4,0
February 1987,Brantley,0,0,0,1,6,6,0
February 1987,Brooks,0,0,0,0,2,1,0
February 1987,Bryan,0,0,1,4,7,17,1
February 1987,Bulloch,0,1,0,5,37,73,3
February 1987,Burke,1,0,3,2,17,21,2
February 1987,Butts,0,0,1,0,9,4,0
February 1987,Calhoun,0,0,0,0,4,0,0
February 1987,Camden,0,2,1,2,20,29,2
February 1987,Candler,0,0,0,0,7,1,0
February 1987,Carroll,0,3,3,4,81,165,6
February 1987,Catoosa,0,0,1,2,37,43,13
February 1987,Charlton,0,0,0,3,2,9,4
February 1987,Chatham,1,9,47,42,304,642,50
February 1987,Chattahoochee,0,0,0,1,4,2,0
February 1987,Chattooga,0,0,1,1,19,28,9
February 1987,Cherokee,1,0,6,9,67,132,20
February 1987,Clarke,0,0,11,21,121,285,19
February 1987,Clay,0,0,0,0,1,2,0
February 1987,Clayton,0,4,38,33,247,513,76
February 1987,Clinch,0,0,0,0,1,5,0
February 1987,Cobb,0,14,48,24,391,970,194
February 1987,Coffee,0,0,2,11,19,55,4
February 1987,Colquitt,0,1,3,7,44,54,9
February 1987,Columbia,0,0,3,3,44,60,3
February 1987,Cook,0,0,0,1,13,12,3
February 1987,Coweta,0,0,1,3,78,73,3
February 1987,Crawford,0,1,0,0,3,10,0
February 1987,Crisp,0,0,4,13,28,55,5
February 1987,Dade,0,1,0,2,2,5,4
February 1987,Dawson,0,1,0,1,4,7,1
February 1987,Decatur,0,0,5,5,20,38,1
February 1987,Dekalb,3,15,122,34,1046,1862,485
February 1987,Dodge,0,1,0,2,9,5,0
February 1987,Dooly,0,0,0,1,2,7,0
February 1987,Dougherty,3,8,30,38,173,262,33
February 1987,Douglas,0,0,3,7,62,137,29
February 1987,Early,0,0,0,2,9,9,0
February 1987,Echols,0,0,0,0,0,0,0
February 1987,Effingham,0,0,1,1,6,11,2
February 1987,Elbert,0,0,0,1,6,18,1
February 1987,Emanuel,1,0,1,2,18,13,3
February 1987,Evans,0,0,0,0,5,3,0
February 1987,Fannin,1,0,0,1,24,6,0
February 1987,Fayette,0,0,2,2,55,51,6
February 1987,Floyd,1,1,2,13,96,162,17
February 1987,Forsyth,0,0,0,4,43,52,7
February 1987,Franklin,2,0,0,1,13,10,4
February 1987,Fulton,19,41,442,474,1770,3274,819
February 1987,Gilmer,0,0,0,0,8,8,1
February 1987,Glascock,0,0,0,0,0,0,0
February 1987,Glynn,0,5,10,29,96,232,5
February 1987,Gordon,0,2,2,1,34,44,8
February 1987,Grady,0,0,3,1,9,20,1
February 1987,Greene,0,0,0,0,4,3,1
February 1987,Gwinnett,0,5,24,36,336,692,102
February 1987,Habersham,0,0,0,1,0,3,0
February 1987,Hall,0,3,3,14,71,175,22
February 1987,Hancock,0,0,0,0,0,1,0
February 1987,Haralson,0,0,0,2,14,10,7
February 1987,Harris,0,1,1,2,8,8,2
February 1987,Hart,1,0,0,1,13,18,1
February 1987,Heard,0,0,0,0,15,9,1
February 1987,Henry,1,0,3,3,66,66,6
February 1987,Houston,1,2,5,17,124,178,10
February 1987,Irwin,0,0,0,5,20,14,0
February 1987,Jackson,0,0,1,3,15,23,3
February 1987,Jasper,0,0,0,0,8,1,0
February 1987,Jeff Davis,0,0,1,1,8,10,0
February 1987,Jefferson,0,1,1,2,7,6,0
February 1987,Jenkins,0,0,4,0,4,5,0
February 1987,Johnson,0,0,0,2,1,3,0
February 1987,Jones,1,0,1,0,12,5,3
February 1987,Lamar,1,0,0,4,3,16,0
February 1987,Lanier,0,0,1,2,5,8,0
February 1987,Laurens,1,2,0,10,26,63,3
February 1987,Lee,0,0,0,1,8,8,0
February 1987,Liberty,0,2,4,7,46,71,8
February 1987,Lincoln,0,0,0,0,1,2,0
February 1987,Long,0,0,0,0,0,0,0
February 1987,Lowndes,0,5,8,33,193,336,37
February 1987,Lumpkin,0,0,0,0,8,10,1
February 1987,Macon,0,0,0,1,11,6,0
February 1987,Madison,0,0,0,1,5,17,1
February 1987,Marion,0,0,0,1,2,1,0
February 1987,McDuffie,0,0,0,0,6,16,3
February 1987,McIntosh,1,0,0,1,10,11,1
February 1987,Meriwether,0,0,1,0,9,3,1
February 1987,Miller,0,0,0,0,2,0,0
February 1987,Mitchell,0,0,0,3,30,28,3
February 1987,Monroe,0,0,0,5,12,24,5
February 1987,Montgomery,0,0,0,0,2,0,0
February 1987,Morgan,0,0,2,0,5,10,3
February 1987,Murray,0,0,0,2,16,17,6
February 1987,Muscogee,0,3,27,22,162,385,48
February 1987,Newton,1,1,2,8,48,89,7
February 1987,Oconee,0,0,0,0,8,3,4
February 1987,Oglethorpe,0,0,1,1,10,4,1
February 1987,Paulding,0,0,0,3,25,23,6
February 1987,Peach,0,1,2,8,16,46,4
February 1987,Pickens,0,0,0,1,1,4,0
February 1987,Pierce,0,0,0,0,4,2,0
February 1987,Pike,0,0,0,0,3,5,1
February 1987,Polk,1,0,1,2,27,31,6
February 1987,Pulaski,0,0,0,2,7,12,0
February 1987,Putnam,0,1,0,2,1,7,1
February 1987,Quitman,0,0,0,0,0,0,0
February 1987,Rabun,0,0,0,0,5,8,0
February 1987,Randolph,0,0,1,1,5,3,0
February 1987,Richmond,2,3,36,33,286,512,44
February 1987,Rockdale,0,0,2,7,60,92,12
February 1987,Schley,0,0,0,1,1,2,0
February 1987,Screven,0,0,1,0,5,10,1
February 1987,Seminole,0,0,3,0,3,9,0
February 1987,Spalding,3,2,6,17,74,133,15
February 1987,Stephens,0,0,0,0,7,19,9
February 1987,Stewart,0,0,0,1,1,2,0
February 1987,Sumter,0,2,4,17,32,67,3
February 1987,Talbot,0,0,0,2,2,2,0
February 1987,Taliaferro,0,0,0,0,3,1,0
February 1987,Tattnall,0,0,0,3,3,5,1
February 1987,Taylor,1,0,0,1,1,3,0
February 1987,Telfair,0,0,0,1,7,1,0
February 1987,Terrell,0,0,0,1,6,7,0
