Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 2015,Appling,0,0,0,0,5,15,6
January 2015,Atkinson,0,0,0,0,2,3,0
January 2015,Bacon,0,0,0,0,8,18,0
January 2015,Baldwin,0,0,1,13,41,107,4
January 2015,Banks,0,1,0,1,11,24,0
January 2015,Barrow,0,3,2,29,44,132,11
January 2015,Bartow,0,4,1,35,67,231,47
January 2015,Ben Hill,0,0,2,5,21,48,2
January 2015,Berrien,0,0,0,2,9,28,3
January 2015,Bibb,2,6,26,20,157,402,63
January 2015,Bleckley,0,0,0,3,7,30,0
January 2015,Brantley,0,0,0,2,7,24,0
January 2015,Brooks,0,1,0,3,5,23,2
January 2015,Bryan,0,0,2,2,12,36,4
January 2015,Bulloch,0,2,2,3,27,108,5
January 2015,Burke,0,0,0,10,23,50,2
January 2015,Butts,0,0,1,7,12,25,0
January 2015,Calhoun,0,0,0,0,1,0,0
January 2015,Camden,0,0,0,13,19,74,2
January 2015,Candler,0,2,1,1,3,5,0
January 2015,Carroll,0,2,6,16,74,231,24
January 2015,Catoosa,0,1,1,13,32,202,9
January 2015,Charlton,0,0,1,3,1,9,2
January 2015,Chatham,4,6,34,43,185,617,104
January 2015,Chattahoochee,0,0,0,0,0,1,0
January 2015,Chattooga,0,0,1,1,15,31,1
January 2015,Cherokee,0,2,3,9,34,204,24
January 2015,Clarke,1,4,3,20,67,284,20
January 2015,Clay,0,0,0,0,0,0,0
January 2015,Clayton,2,8,71,60,266,589,138
January 2015,Clinch,0,0,1,1,6,12,0
January 2015,Cobb,4,10,72,130,328,1175,103
January 2015,Coffee,0,1,0,7,35,141,7
January 2015,Colquitt,1,0,5,10,33,117,4
January 2015,Columbia,0,2,4,7,29,171,10
January 2015,Cook,0,1,0,5,5,22,0
January 2015,Coweta,1,1,4,17,46,140,11
January 2015,Crawford,0,1,0,1,7,10,3
January 2015,Crisp,0,0,5,6,22,77,1
January 2015,Dade,0,0,0,0,4,5,0
January 2015,Dawson,0,0,0,1,11,28,3
January 2015,Decatur,0,0,2,8,19,70,0
January 2015,Dekalb,7,14,234,153,753,1749,451
January 2015,Dodge,0,0,1,2,16,78,3
January 2015,Dooly,0,0,0,2,2,15,1
January 2015,Dougherty,1,2,10,43,114,238,22
January 2015,Douglas,0,0,9,16,52,240,26
January 2015,Early,0,0,0,1,2,5,0
January 2015,Echols,0,0,0,0,4,2,0
January 2015,Effingham,0,3,0,2,15,59,3
January 2015,Elbert,0,0,2,4,22,34,0
January 2015,Emanuel,0,0,1,2,17,50,3
January 2015,Evans,0,0,0,0,2,5,0
January 2015,Fannin,0,0,0,1,3,6,2
January 2015,Fayette,0,0,4,2,17,90,6
