Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 1999,Appling,0,2,2,7,3,14,1
January 1999,Atkinson,0,0,0,0,0,0,0
January 1999,Bacon,0,0,0,0,2,9,0
January 1999,Baker,0,0,0,0,0,3,0
January 1999,Baldwin,0,2,1,7,36,87,2
January 1999,Banks,1,0,0,2,11,19,5
January 1999,Barrow,0,0,0,6,23,74,8
January 1999,Bartow,0,1,2,5,46,59,12
January 1999,Ben Hill,1,0,2,2,8,7,2
January 1999,Berrien,0,0,1,6,0,18,0
January 1999,Bibb,4,5,53,48,217,647,152
January 1999,Bleckley,0,0,1,1,11,22,0
January 1999,Brantley,0,0,0,1,3,19,0
January 1999,Brooks,1,0,1,14,14,30,2
January 1999,Bryan,1,0,4,3,7,32,3
January 1999,Bulloch,0,1,8,0,23,109,4
January 1999,Burke,0,0,2,28,35,27,13
January 1999,Butts,0,0,2,1,4,33,3
January 1999,Calhoun,0,0,0,1,5,10,1
January 1999,Camden,0,0,0,9,16,61,3
January 1999,Candler,0,0,0,3,2,7,3
January 1999,Carroll,2,1,3,22,53,246,18
January 1999,Catoosa,0,0,1,6,15,91,11
January 1999,Charlton,0,0,1,4,9,10,0
January 1999,Chatham,2,10,58,65,210,790,99
January 1999,Chattahoochee,0,0,0,0,1,1,1
January 1999,Chattooga,0,0,0,0,3,16,0
January 1999,Cherokee,0,0,1,19,14,119,20
January 1999,Clarke,1,1,15,32,81,436,25
January 1999,Clay,0,0,0,1,1,2,1
January 1999,Clayton,1,5,26,40,186,752,153
January 1999,Clinch,0,0,0,13,2,16,0
January 1999,Cobb,0,9,51,68,280,1124,204
January 1999,Coffee,0,1,0,12,34,138,12
January 1999,Colquitt,0,0,2,14,33,104,8
January 1999,Columbia,0,2,5,3,18,112,7
January 1999,Cook,0,0,0,1,13,25,1
January 1999,Coweta,0,0,4,21,41,145,12
January 1999,Crawford,0,0,0,1,5,7,1
January 1999,Crisp,0,1,2,20,19,79,6
January 1999,Dade,0,0,0,1,1,9,1
January 1999,Dawson,0,0,0,2,2,33,2
January 1999,Decatur,0,1,2,11,23,89,5
January 1999,Dekalb,0,7,150,54,694,1892,632
January 1999,Dodge,0,1,1,11,5,22,1
January 1999,Dooly,0,0,0,3,3,12,0
January 1999,Dougherty,1,4,12,25,145,305,30
January 1999,Douglas,0,1,8,22,57,324,49
January 1999,Early,0,0,0,2,0,7,0
January 1999,Echols,0,0,0,0,4,0,0
January 1999,Effingham,0,4,0,0,0,8,2
January 1999,Elbert,0,0,0,15,10,40,4
January 1999,Emanuel,0,0,0,10,7,28,6
January 1999,Evans,0,0,0,0,0,3,1
January 1999,Fannin,0,0,0,0,4,9,2
January 1999,Fayette,0,0,1,7,23,106,9
January 1999,Floyd,0,1,6,50,59,254,14
January 1999,Forsyth,0,2,2,24,25,124,18
January 1999,Franklin,0,0,1,18,22,23,3
