Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 2006,Appling,0,0,0,4,5,22,2
January 2006,Atkinson,0,0,0,1,3,13,1
January 2006,Bacon,1,0,0,0,3,1,2
January 2006,Baker,0,0,0,0,0,0,0
January 2006,Baldwin,0,2,1,9,31,92,7
January 2006,Banks,0,1,0,15,5,48,8
January 2006,Barrow,0,1,0,36,20,71,16
January 2006,Bartow,0,2,5,17,103,210,31
January 2006,Ben Hill,0,0,1,7,9,38,2
January 2006,Berrien,0,1,1,4,18,41,0
January 2006,Bibb,3,6,28,77,239,574,138
January 2006,Bleckley,0,0,0,2,2,27,1
January 2006,Brantley,0,0,1,3,6,11,2
January 2006,Brooks,0,0,0,8,17,38,5
January 2006,Bryan,0,0,2,3,6,14,2
January 2006,Bulloch,0,0,8,16,31,181,10
January 2006,Burke,0,0,3,17,25,48,2
January 2006,Butts,0,0,0,0,9,28,7
January 2006,Calhoun,0,0,0,1,0,0,0
January 2006,Camden,0,1,3,7,36,78,9
January 2006,Candler,0,0,0,3,1,17,1
January 2006,Carroll,0,4,3,12,66,150,22
January 2006,Catoosa,1,1,1,9,25,108,26
January 2006,Charlton,0,0,0,7,0,4,0
January 2006,Chatham,4,10,35,73,211,755,152
January 2006,Chattahoochee,0,0,0,2,1,0,0
January 2006,Chattooga,0,0,0,4,6,14,0
January 2006,Cherokee,0,3,2,4,58,147,20
January 2006,Clarke,1,6,11,16,79,320,34
January 2006,Clay,0,0,0,1,0,2,1
January 2006,Clayton,1,1,60,42,305,612,183
January 2006,Clinch,0,0,0,0,1,4,1
January 2006,Cobb,0,12,93,89,415,1222,247
January 2006,Coffee,0,1,2,10,24,42,5
January 2006,Colquitt,0,1,5,8,37,98,9
January 2006,Columbia,0,1,1,6,30,166,16
January 2006,Cook,0,0,0,2,4,8,1
January 2006,Coweta,0,2,8,11,56,157,16
January 2006,Crawford,0,0,0,2,13,19,5
January 2006,Crisp,0,0,1,1,46,84,4
January 2006,Dade,0,1,0,0,6,18,2
January 2006,Dawson,0,0,0,3,5,32,5
January 2006,Decatur,0,0,2,10,15,79,6
January 2006,Dekalb,11,15,277,178,781,1360,623
January 2006,Dodge,0,0,0,7,6,15,1
January 2006,Dooly,0,0,1,0,4,9,0
January 2006,Dougherty,0,2,25,31,142,264,30
January 2006,Douglas,0,0,5,13,49,203,10
January 2006,Early,1,0,0,3,5,12,1
January 2006,Echols,0,0,0,0,0,0,0
January 2006,Effingham,0,0,1,1,25,51,5
January 2006,Elbert,0,0,0,0,5,41,0
January 2006,Emanuel,0,0,0,2,12,3,3
January 2006,Evans,0,0,0,0,0,0,0
January 2006,Fannin,1,0,0,1,6,8,0
January 2006,Fayette,0,0,2,4,23,134,14
January 2006,Floyd,3,9,3,43,71,235,25
January 2006,Forsyth,0,1,2,9,40,206,6
January 2006,Franklin,0,0,1,2,12,29,4
January 2006,Fulton,9,24,366,429,1029,2791,749
January 2006,Gilmer,0,0,0,1,8,18,6
