Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 2008,Appling,0,0,0,0,3,5,0
January 2008,Atkinson,0,0,0,5,0,4,0
January 2008,Bacon,0,0,3,2,7,21,2
January 2008,Baker,0,0,0,0,0,0,0
January 2008,Baldwin,0,0,5,27,46,130,9
January 2008,Banks,0,0,0,11,3,27,5
January 2008,Barrow,0,2,0,30,29,151,14
January 2008,Bartow,0,1,7,35,88,229,35
January 2008,Ben Hill,0,0,0,0,6,14,2
January 2008,Berrien,0,1,1,2,5,30,1
January 2008,Bibb,0,5,31,26,162,524,97
January 2008,Bleckley,0,0,1,1,5,19,3
January 2008,Brantley,0,0,0,2,4,10,1
January 2008,Brooks,0,1,0,12,24,28,4
January 2008,Bryan,0,0,1,2,8,38,8
January 2008,Bulloch,0,4,4,40,42,125,9
January 2008,Burke,0,0,0,8,29,54,4
January 2008,Butts,0,0,0,8,7,41,6
January 2008,Calhoun,0,0,0,0,1,9,1
January 2008,Camden,0,0,3,15,45,77,7
January 2008,Candler,0,0,0,0,1,3,0
January 2008,Carroll,0,6,5,49,76,253,23
January 2008,Catoosa,0,0,0,13,28,174,21
January 2008,Charlton,0,0,0,3,5,11,1
January 2008,Chatham,2,3,63,50,241,670,108
January 2008,Chattooga,0,0,0,4,1,14,2
January 2008,Cherokee,0,1,1,13,36,136,7
January 2008,Clarke,0,1,8,14,143,345,45
January 2008,Clay,0,0,0,1,0,0,0
January 2008,Clayton,1,4,43,50,373,486,197
January 2008,Clinch,0,0,0,0,3,2,0
January 2008,Cobb,3,6,81,73,371,1014,200
January 2008,Coffee,0,1,3,17,41,155,5
January 2008,Colquitt,0,0,3,8,19,58,7
January 2008,Columbia,0,2,0,8,32,186,12
January 2008,Cook,0,0,1,2,6,19,2
January 2008,Coweta,0,2,4,14,38,136,15
January 2008,Crawford,0,0,2,3,11,21,4
January 2008,Crisp,0,0,1,6,20,80,2
January 2008,Dade,0,0,0,3,6,9,1
January 2008,Dawson,1,0,0,1,8,21,3
January 2008,Decatur,0,0,3,14,20,49,5
