Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 1992,Appling,0,0,0,0,7,15,2
January 1992,Atkinson,0,0,0,4,10,6,1
January 1992,Bacon,3,0,0,4,9,9,2
January 1992,Baker,0,0,0,0,0,0,0
January 1992,Baldwin,0,3,6,17,99,185,13
January 1992,Banks,0,0,0,5,14,11,1
January 1992,Barrow,0,0,3,1,30,54,7
January 1992,Bartow,0,1,2,7,51,108,15
January 1992,Ben Hill,0,1,1,4,14,27,0
January 1992,Berrien,0,0,0,1,7,22,0
January 1992,Bibb,1,12,26,60,229,624,66
January 1992,Bleckley,0,0,0,4,1,8,0
January 1992,Brantley,0,0,1,8,4,8,2
January 1992,Brooks,1,0,1,6,26,19,2
January 1992,Bryan,0,0,1,1,6,22,4
January 1992,Bulloch,0,0,7,8,63,125,10
January 1992,Burke,0,0,3,14,21,35,3
January 1992,Butts,1,1,0,0,5,22,1
January 1992,Calhoun,0,0,1,2,9,3,0
January 1992,Camden,0,0,1,6,35,53,5
January 1992,Candler,1,0,0,0,2,0,0
January 1992,Carroll,0,5,9,11,79,166,22
January 1992,Catoosa,0,0,0,4,32,72,22
January 1992,Charlton,0,0,2,0,0,4,0
January 1992,Chatham,5,7,81,47,319,826,161
January 1992,Chattahoochee,0,0,0,1,3,2,0
January 1992,Chattooga,0,0,0,1,8,20,7
January 1992,Cherokee,0,1,4,3,59,98,13
January 1992,Clarke,0,7,20,23,206,487,49
January 1992,Clay,0,0,0,5,0,7,0
January 1992,Clayton,2,7,44,59,268,809,145
January 1992,Clinch,0,0,0,4,3,4,1
January 1992,Cobb,5,12,65,74,402,1218,184
January 1992,Coffee,0,1,7,45,49,90,9
January 1992,Colquitt,0,0,5,26,77,85,11
January 1992,Columbia,0,0,2,9,29,108,8
January 1992,Cook,0,0,0,3,14,43,1
January 1992,Coweta,0,1,5,3,49,92,9
January 1992,Crawford,0,0,0,0,9,11,0
January 1992,Crisp,1,1,0,4,19,66,0
January 1992,Dade,0,0,0,0,9,8,5
January 1992,Dawson,0,0,0,4,6,14,0
January 1992,Decatur,0,0,2,5,20,54,1
January 1992,Dekalb,2,24,240,66,1058,2167,602
January 1992,Dodge,0,0,0,4,7,27,1
January 1992,Dooly,0,0,0,1,3,14,1
January 1992,Dougherty,0,8,40,43,294,452,37
January 1992,Douglas,0,3,4,8,32,139,26
January 1992,Early,0,0,0,0,2,1,0
January 1992,Echols,0,0,0,0,0,0,0
January 1992,Effingham,0,1,0,11,14,39,2
January 1992,Elbert,2,1,0,7,9,44,4
January 1992,Emanuel,0,0,0,7,20,23,2
January 1992,Evans,0,0,0,2,2,6,2
January 1992,Fannin,1,0,0,1,11,11,0
January 1992,Fayette,0,0,0,1,12,74,4
January 1992,Floyd,0,0,15,35,98,208,25
January 1992,Forsyth,3,1,0,2,59,100,15
January 1992,Franklin,0,0,2,8,18,19,4
January 1992,Fulton,21,48,571,657,1560,3890,1202
January 1992,Gilmer,0,0,0,0,0,0,0
January 1992,Glascock,0,0,0,0,0,0,0
January 1992,Glynn,1,2,16,83,96,241,20
January 1992,Gordon,0,0,0,9,33,83,16
January 1992,Grady,0,0,2,6,17,56,5
January 1992,Greene,0,0,0,5,21,16,2
January 1992,Gwinnett,3,8,45,32,309,1065,132
January 1992,Habersham,0,0,0,3,7,34,4
January 1992,Hall,0,2,13,31,91,239,22
