Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 2005,Appling,0,0,0,10,9,21,0
January 2005,Atkinson,0,0,0,2,0,4,0
January 2005,Bacon,0,0,0,1,3,7,0
January 2005,Baker,0,0,0,0,0,0,0
January 2005,Baldwin,0,1,3,8,32,98,4
January 2005,Banks,0,2,0,9,12,64,4
January 2005,Barrow,0,0,0,33,33,100,18
January 2005,Bartow,0,1,7,20,76,263,32
January 2005,Ben Hill,0,0,0,3,10,41,2
January 2005,Berrien,1,2,0,2,14,26,1
January 2005,Bibb,2,7,23,27,165,588,103
January 2005,Bleckley,0,0,1,1,6,21,0
January 2005,Brantley,0,0,0,4,10,19,6
January 2005,Brooks,0,0,0,8,11,26,2
January 2005,Bryan,0,0,1,2,10,27,3
January 2005,Bulloch,0,0,5,4,35,104,9
January 2005,Burke,0,0,4,33,14,41,6
January 2005,Butts,0,0,0,2,7,32,1
January 2005,Calhoun,0,0,0,1,3,9,0
January 2005,Camden,0,1,5,4,24,88,3
January 2005,Candler,0,0,4,0,5,7,1
January 2005,Carroll,0,2,3,36,86,289,19
January 2005,Catoosa,0,1,0,1,15,90,5
January 2005,Charlton,0,0,0,1,0,3,1
January 2005,Chatham,2,6,59,84,208,601,139
January 2005,Chattahoochee,0,0,0,0,5,4,0
January 2005,Chattooga,0,0,0,0,0,2,1
January 2005,Cherokee,0,4,3,6,65,206,18
January 2005,Clarke,1,5,8,15,94,377,27
January 2005,Clay,0,0,0,1,0,0,0
January 2005,Clayton,1,6,47,62,314,581,186
January 2005,Clinch,0,0,0,0,1,1,0
January 2005,Cobb,2,29,86,133,496,1709,384
January 2005,Coffee,0,0,2,12,36,225,10
January 2005,Colquitt,1,1,8,10,60,127,17
January 2005,Columbia,0,3,1,5,26,147,10
January 2005,Cook,1,0,1,6,4,8,2
January 2005,Coweta,0,0,2,10,44,99,17
January 2005,Crawford,0,0,0,1,11,12,2
January 2005,Crisp,0,0,3,4,11,67,3
January 2005,Dade,0,0,1,1,5,8,1
January 2005,Dawson,0,0,0,1,9,25,7
January 2005,Decatur,0,0,0,12,11,82,3
January 2005,Dekalb,0,18,172,182,746,1579,670
January 2005,Dodge,0,0,0,4,3,21,3
January 2005,Dooly,0,1,0,1,1,8,1
January 2005,Dougherty,1,3,18,12,142,264,29
January 2005,Douglas,0,2,13,22,81,310,47
January 2005,Early,0,0,1,1,3,7,0
January 2005,Echols,0,0,0,0,0,0,0
