Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 1991,Appling,0,0,1,0,8,4,1
January 1991,Atkinson,1,0,0,0,5,0,0
January 1991,Bacon,0,0,0,5,6,7,0
January 1991,Baker,0,0,0,0,3,1,0
January 1991,Baldwin,0,0,2,4,36,117,7
January 1991,Banks,0,0,0,3,7,1,0
January 1991,Barrow,0,0,0,5,30,63,3
January 1991,Bartow,0,0,0,0,8,12,1
January 1991,Ben Hill,0,0,0,10,30,29,5
January 1991,Berrien,0,0,0,2,4,8,1
January 1991,Bibb,0,3,20,42,224,673,70
January 1991,Bleckley,0,0,0,1,4,4,0
January 1991,Brantley,0,0,0,2,0,13,3
January 1991,Brooks,0,0,1,0,0,3,0
January 1991,Bryan,0,0,1,0,6,30,2
January 1991,Bulloch,0,0,0,0,3,28,0
January 1991,Burke,0,0,0,0,2,2,0
January 1991,Butts,0,0,1,2,3,8,1
January 1991,Calhoun,0,0,4,1,4,13,0
January 1991,Camden,0,0,0,2,31,32,10
January 1991,Candler,0,0,0,0,11,0,0
January 1991,Carroll,1,4,3,17,72,171,18
January 1991,Catoosa,0,0,1,3,28,63,19
January 1991,Charlton,0,0,0,0,0,0,0
January 1991,Chatham,3,6,97,36,324,786,117
January 1991,Chattahoochee,0,0,0,0,4,1,1
January 1991,Chattooga,0,0,0,0,6,12,2
January 1991,Cherokee,0,2,3,10,82,95,30
January 1991,Clarke,1,1,14,13,128,251,21
January 1991,Clay,0,0,0,0,0,0,0
January 1991,Clayton,1,8,54,56,263,715,141
January 1991,Clinch,0,0,0,4,1,4,0
January 1991,Cobb,3,11,74,58,538,1456,212
January 1991,Coffee,0,0,3,13,26,111,4
January 1991,Colquitt,1,0,3,20,32,71,9
January 1991,Columbia,1,0,2,4,65,135,22
January 1991,Cook,0,0,1,8,6,18,0
January 1991,Coweta,1,2,8,3,52,89,13
January 1991,Crawford,0,0,0,0,9,8,2
January 1991,Crisp,0,2,3,5,12,13,2
January 1991,Dade,0,0,0,0,7,3,1
January 1991,Dawson,0,0,0,0,0,0,0
January 1991,Decatur,1,0,8,2,23,58,5
January 1991,Dekalb,10,28,243,90,975,2395,699
January 1991,Dodge,0,0,1,0,13,35,3
January 1991,Dooly,1,0,3,2,5,4,4
January 1991,Dougherty,0,4,34,27,266,514,55
January 1991,Douglas,1,0,6,4,41,123,17
January 1991,Early,0,0,0,0,0,0,0
