Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 1982,Appling,0,0,0,1,8,6,1
January 1982,Atkinson,0,0,0,0,1,2,0
January 1982,Bacon,0,0,0,1,6,16,0
January 1982,Baker,0,0,0,0,1,0,0
January 1982,Baldwin,0,0,2,2,15,46,4
January 1982,Banks,0,0,1,0,4,1,0
January 1982,Barrow,0,0,0,4,20,21,2
January 1982,Bartow,0,0,2,2,46,63,11
January 1982,Ben Hill,0,0,2,8,18,19,7
January 1982,Berrien,0,0,0,3,7,17,0
January 1982,Bibb,1,7,24,46,245,440,56
January 1982,Bleckley,0,0,0,1,2,6,0
January 1982,Brantley,0,0,0,0,5,6,0
January 1982,Brooks,0,0,1,0,3,9,4
January 1982,Bryan,1,0,0,0,7,20,3
January 1982,Bulloch,0,0,1,4,19,90,4
January 1982,Burke,1,0,4,9,17,32,5
January 1982,Butts,0,0,1,1,9,6,0
January 1982,Calhoun,3,0,0,2,1,1,1
January 1982,Camden,0,0,1,1,13,14,5
January 1982,Candler,0,0,0,0,5,3,0
January 1982,Carroll,1,1,0,7,48,114,13
January 1982,Catoosa,0,0,7,4,32,63,8
January 1982,Charlton,0,0,0,0,2,8,0
January 1982,Chatham,2,14,56,75,420,899,75
January 1982,Chattahoochee,0,0,0,0,0,0,0
January 1982,Chattooga,0,0,1,2,22,27,1
January 1982,Cherokee,0,0,1,5,54,65,10
January 1982,Clarke,0,2,24,19,121,319,26
January 1982,Clay,0,0,0,0,1,2,0
January 1982,Clayton,1,3,14,23,244,443,66
January 1982,Clinch,0,0,0,1,6,6,2
January 1982,Cobb,0,6,17,44,453,799,84
January 1982,Coffee,0,0,1,3,38,47,5
January 1982,Colquitt,1,1,1,7,30,42,7
January 1982,Columbia,0,0,0,3,45,33,2
January 1982,Cook,0,0,3,0,9,10,2
January 1982,Coweta,0,0,3,4,21,42,3
January 1982,Crawford,0,0,0,0,2,3,0
January 1982,Crisp,0,0,5,20,54,52,5
January 1982,Dade,0,0,0,0,3,2,2
January 1982,Dawson,0,0,0,0,3,3,4
January 1982,Decatur,1,0,2,5,16,38,3
January 1982,Dekalb,1,16,86,32,788,1236,139
January 1982,Dodge,0,0,0,0,2,5,0
January 1982,Dooly,0,0,0,1,3,1,0
January 1982,Dougherty,0,15,26,37,183,312,34
January 1982,Douglas,1,2,2,11,34,86,15
January 1982,Early,0,0,0,3,14,10,0
January 1982,Echols,0,0,0,0,0,0,0
January 1982,Effingham,0,0,0,4,10,11,0
January 1982,Elbert,1,0,1,3,15,12,3
January 1982,Emanuel,0,1,0,5,16,18,2
January 1982,Evans,0,0,0,0,11,2,0
January 1982,Fannin,0,0,1,2,9,6,0
January 1982,Fayette,0,0,0,0,20,8,0
January 1982,Floyd,1,0,6,6,102,154,16
January 1982,Forsyth,0,0,0,1,30,47,9
January 1982,Franklin,0,0,0,0,18,15,1
January 1982,Fulton,13,64,425,453,1921,3074,434
January 1982,Gilmer,0,0,0,0,3,6,1
January 1982,Glascock,0,0,0,0,0,0,0
January 1982,Glynn,0,4,11,20,108,171,19
January 1982,Gordon,0,1,0,2,15,38,3
January 1982,Grady,0,0,0,0,7,3,1
January 1982,Greene,0,1,1,2,8,15,1
January 1982,Gwinnett,0,4,12,14,222,315,32
January 1982,Habersham,0,0,0,1,0,3,0
January 1982,Hall,1,0,3,20,73,141,18
January 1982,Hancock,0,0,0,0,0,0,0
January 1982,Haralson,0,0,0,1,17,20,1
January 1982,Harris,0,0,1,1,13,16,3
January 1982,Hart,0,0,0,0,1,3,0
January 1982,Heard,0,0,0,0,5,1,0
January 1982,Henry,2,1,1,3,49,37,4
January 1982,Houston,1,1,4,7,68,132,17
January 1982,Irwin,0,0,1,0,5,7,0
January 1982,Jackson,2,0,1,3,8,10,4
January 1982,Jasper,0,0,0,1,6,6,0
January 1982,Jeff Davis,0,0,1,1,5,5,0
January 1982,Jefferson,1,0,0,8,6,5,2
January 1982,Jenkins,0,0,0,1,4,11,0
January 1982,Johnson,0,0,0,0,0,0,0
January 1982,Jones,0,0,0,2,7,15,4
January 1982,Lamar,0,0,0,0,7,10,3
January 1982,Lanier,0,0,0,4,2,5,1
January 1982,Laurens,1,1,3,10,33,53,6
January 1982,Lee,0,0,1,0,3,6,2
January 1982,Liberty,0,1,3,6,41,57,4
January 1982,Lincoln,0,0,0,1,3,1,0
January 1982,Long,0,0,0,0,0,0,0
January 1982,Lowndes,1,4,20,10,72,193,13
January 1982,Lumpkin,0,0,0,2,20,6,1
January 1982,Macon,0,0,0,0,2,1,0
January 1982,Madison,0,0,0,4,13,5,2
January 1982,Marion,0,0,0,0,0,0,0
January 1982,McDuffie,0,0,0,1,8,12,0
January 1982,McIntosh,0,0,0,2,6,13,1
January 1982,Meriwether,0,3,0,2,24,6,0
January 1982,Miller,0,0,0,0,6,6,1
January 1982,Mitchell,1,0,2,2,14,17,0
January 1982,Monroe,0,0,1,1,22,22,2
January 1982,Montgomery,0,0,0,0,0,0,0
January 1982,Morgan,0,0,1,0,5,11,0
January 1982,Murray,0,0,0,1,8,17,7
January 1982,Muscogee,3,5,34,29,233,347,47
January 1982,Newton,1,1,3,2,38,53,8
January 1982,Oconee,0,0,0,0,1,0,0
January 1982,Oglethorpe,0,0,0,0,2,4,0
January 1982,Paulding,0,0,1,0,19,22,5
January 1982,Peach,0,0,1,6,29,51,5
January 1982,Pickens,1,0,0,0,10,4,2
January 1982,Pierce,0,0,0,0,0,2,0
January 1982,Pike,0,0,0,0,3,4,0
January 1982,Polk,0,0,1,13,45,33,3
January 1982,Pulaski,0,1,0,3,11,7,0
January 1982,Putnam,1,0,0,1,9,5,1
January 1982,Quitman,0,0,0,0,0,0,0
January 1982,Rabun,0,0,0,0,5,10,0
January 1982,Randolph,0,0,0,0,1,2,0
January 1982,Richmond,3,10,39,33,377,442,55
January 1982,Rockdale,1,0,5,14,36,89,9
January 1982,Schley,0,0,0,0,1,0,0
January 1982,Screven,0,0,1,3,4,14,1
January 1982,Seminole,0,1,0,8,9,7,2
January 1982,Spalding,0,2,9,21,115,116,7
January 1982,Stephens,0,1,0,2,19,31,4
January 1982,Stewart,0,0,0,0,0,1,0
January 1982,Sumter,0,0,2,10,45,109,2
January 1982,Talbot,0,0,0,0,1,1,0
January 1982,Taliaferro,0,0,0,0,0,0,0
January 1982,Tattnall,0,0,0,0,2,4,0
January 1982,Taylor,0,0,0,0,3,3,0
January 1982,Telfair,0,0,0,0,4,3,1
January 1982,Terrell,0,0,1,8,21,17,2
January 1982,Thomas,0,1,1,8,32,57,4
January 1982,Tift,0,1,4,22,38,106,2
January 1982,Toombs,0,0,3,3,10,12,2
January 1982,Towns,0,0,0,0,0,0,0
January 1982,Treutlen,0,0,0,0,0,0,0
January 1982,Troup,0,0,5,28,35,184,14
January 1982,Turner,0,0,1,2,9,12,0
January 1982,Twiggs,0,0,0,0,0,0,0
January 1982,Union,0,0,0,0,0,0,0
January 1982,Upson,0,0,0,4,12,15,0
January 1982,Walker,0,0,2,2,87,71,5
January 1982,Walton,0,0,1,3,21,34,0
January 1982,Ware,0,1,5,3,44,82,3
January 1982,Warren,0,0,0,0,1,0,0
January 1982,Washington,0,0,1,12,16,30,3
January 1982,Wayne,0,0,0,4,8,18,0
January 1982,Webster,0,0,0,0,0,0,0
January 1982,Wheeler,0,1,0,0,0,0,0
January 1982,White,0,0,0,0,11,7,2
January 1982,Whitfield,4,1,8,16,85,139,37
January 1982,Wilcox,0,0,0,0,0,0,0
January 1982,Wilkes,0,0,0,2,7,6,1
January 1982,Wilkinson,0,0,0,1,3,1,1
January 1982,Worth,0,0,1,1,10,21,0
February 1982,Appling,0,0,0,0,7,4,1
February 1982,Atkinson,0,0,0,0,2,2,1
February 1982,Bacon,0,0,0,0,5,9,0
February 1982,Baker,0,0,0,1,6,1,0
February 1982,Baldwin,0,0,3,6,20,65,2
February 1982,Banks,0,1,0,1,3,0,0
February 1982,Barrow,1,0,1,3,18,33,6
February 1982,Bartow,0,1,0,3,31,71,11
February 1982,Ben Hill,1,0,0,1,29,28,2
February 1982,Berrien,0,0,0,4,12,18,1
February 1982,Bibb,0,8,26,40,205,454,54
February 1982,Bleckley,0,0,0,1,1,6,0
February 1982,Brantley,0,0,0,1,6,3,0
February 1982,Brooks,0,0,0,0,5,13,0
February 1982,Bryan,0,0,2,1,6,7,4
February 1982,Bulloch,0,0,2,4,17,75,5
February 1982,Burke,0,1,2,10,22,39,1
February 1982,Butts,0,0,1,0,13,6,0
February 1982,Calhoun,0,1,0,5,0,0,0
February 1982,Camden,0,0,0,4,10,22,5
February 1982,Candler,0,0,0,0,1,2,0
February 1982,Carroll,0,0,3,3,64,111,9
February 1982,Catoosa,0,0,1,0,26,49,7
February 1982,Charlton,0,0,1,3,0,3,0
February 1982,Chatham,2,16,59,78,424,923,51
February 1982,Chattahoochee,0,0,0,0,0,0,0
February 1982,Chattooga,0,0,0,1,9,10,4
February 1982,Cherokee,2,0,2,8,47,68,10
February 1982,Clarke,0,5,14,17,133,374,15
February 1982,Clay,0,0,0,0,2,0,0
February 1982,Clayton,2,6,6,30,265,499,52
February 1982,Clinch,0,0,0,0,1,2,1
February 1982,Cobb,1,6,31,43,406,780,126
February 1982,Coffee,1,0,1,2,25,44,3
February 1982,Colquitt,0,0,1,6,20,36,4
February 1982,Columbia,0,2,5,1,18,35,2
