Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 1996,Appling,0,1,0,1,16,33,3
January 1996,Atkinson,0,0,0,6,0,2,0
January 1996,Bacon,0,0,0,1,3,15,1
January 1996,Baker,0,0,0,0,0,0,0
January 1996,Baldwin,0,0,3,28,46,124,3
January 1996,Banks,0,0,0,5,14,13,4
January 1996,Barrow,0,0,0,5,29,66,11
January 1996,Bartow,0,2,1,18,66,70,22
January 1996,Ben Hill,0,0,1,6,13,58,3
January 1996,Berrien,0,0,0,6,2,15,3
January 1996,Bibb,1,6,35,30,230,891,130
January 1996,Bleckley,0,0,0,2,8,9,0
January 1996,Brantley,0,0,1,4,10,13,3
January 1996,Brooks,0,0,0,4,5,18,2
January 1996,Bryan,0,0,0,2,12,28,5
January 1996,Bulloch,0,1,4,6,32,139,13
January 1996,Burke,0,0,4,34,45,46,8
January 1996,Butts,0,0,1,1,9,31,2
January 1996,Calhoun,0,0,1,0,3,2,2
January 1996,Camden,0,1,1,13,54,192,8
January 1996,Candler,0,0,1,0,4,8,0
January 1996,Carroll,0,2,5,24,66,200,29
January 1996,Catoosa,0,1,1,5,10,88,9
January 1996,Charlton,0,0,1,1,4,6,3
January 1996,Chatham,3,10,113,69,287,939,94
January 1996,Chattahoochee,0,0,0,0,3,0,1
January 1996,Chattooga,1,0,0,0,3,18,1
January 1996,Cherokee,0,0,1,10,60,144,9
January 1996,Clarke,1,4,17,40,90,396,22
January 1996,Clay,0,0,0,0,3,4,0
January 1996,Clayton,2,6,40,44,231,866,154
January 1996,Clinch,0,0,0,12,3,10,1
January 1996,Cobb,0,9,43,99,413,1417,284
January 1996,Coffee,0,0,3,23,30,149,18
January 1996,Colquitt,0,0,6,10,26,131,15
January 1996,Columbia,0,0,4,2,32,120,16
January 1996,Cook,0,0,0,3,4,22,1
January 1996,Coweta,0,3,5,20,90,203,21
January 1996,Crawford,0,0,0,3,3,13,2
January 1996,Crisp,0,0,5,17,18,77,7
January 1996,Dade,0,0,1,0,3,10,1
January 1996,Dawson,0,0,0,1,12,13,1
January 1996,Decatur,0,0,4,11,32,75,5
January 1996,Dekalb,7,19,207,86,798,2713,757
January 1996,Dodge,1,0,1,0,9,33,2
January 1996,Dooly,0,0,0,1,6,5,1
January 1996,Dougherty,1,3,34,33,203,578,71
January 1996,Douglas,0,2,5,16,39,180,44
January 1996,Early,0,0,0,0,1,1,0
January 1996,Echols,0,0,0,7,0,2,1
January 1996,Effingham,0,1,0,0,2,18,1
January 1996,Elbert,0,0,1,10,12,44,2
January 1996,Emanuel,1,1,2,6,13,36,1
January 1996,Evans,0,0,0,1,5,2,1
January 1996,Fannin,0,0,0,1,4,1,0
January 1996,Fayette,0,0,1,0,17,132,10
January 1996,Floyd,0,0,7,39,88,188,17
January 1996,Forsyth,1,1,0,22,51,119,13
January 1996,Franklin,0,2,3,13,12,22,8
January 1996,Fulton,24,45,495,722,1326,4280,1419
January 1996,Gilmer,0,0,0,0,5,1,0
January 1996,Glascock,0,0,0,0,0,0,0
January 1996,Glynn,0,3,22,65,149,321,18
January 1996,Gordon,0,0,1,4,33,105,11
January 1996,Grady,0,1,2,6,21,43,6
January 1996,Greene,0,1,0,4,7,31,6
January 1996,Gwinnett,1,4,28,52,250,1161,154
January 1996,Habersham,0,1,1,2,10,25,0
January 1996,Hall,1,2,7,29,113,350,63
January 1996,Hancock,0,1,0,3,0,1,0
January 1996,Haralson,0,2,0,1,14,27,6
January 1996,Harris,0,0,0,3,6,15,5
January 1996,Hart,0,0,1,0,1,2,1
January 1996,Heard,0,0,0,0,0,0,0
January 1996,Henry,0,1,2,20,40,123,13
January 1996,Houston,3,1,1,2,90,343,13
January 1996,Irwin,0,0,0,3,4,12,1
January 1996,Jackson,0,0,1,6,25,57,7
January 1996,Jasper,0,0,0,1,5,13,1
January 1996,Jeff Davis,0,0,0,3,7,21,1
January 1996,Jefferson,0,0,1,2,7,11,2
January 1996,Jenkins,0,0,1,5,7,5,1
January 1996,Johnson,0,0,0,1,12,0,0
January 1996,Jones,0,0,1,5,10,18,0
January 1996,Lamar,0,1,2,3,7,16,4
January 1996,Lanier,0,0,0,9,0,4,1
January 1996,Laurens,0,1,5,5,48,130,12
January 1996,Lee,0,1,1,1,13,23,5
January 1996,Liberty,0,1,4,6,35,134,15
January 1996,Lincoln,0,0,0,0,0,3,0
January 1996,Long,0,0,0,2,5,6,0
January 1996,Lowndes,0,4,12,30,74,292,27
January 1996,Lumpkin,0,0,0,2,1,16,2
January 1996,Macon,0,0,4,5,12,11,1
January 1996,Madison,0,0,0,0,1,1,0
January 1996,Marion,0,0,0,0,18,0,0
January 1996,McDuffie,0,0,1,4,15,27,10
January 1996,McIntosh,0,1,0,2,11,24,3
January 1996,Meriwether,0,0,0,1,22,30,2
January 1996,Miller,0,0,0,3,2,14,0
January 1996,Mitchell,0,0,0,8,18,31,5
January 1996,Monroe,0,1,1,0,9,36,5
January 1996,Montgomery,0,0,0,0,0,0,0
January 1996,Morgan,1,0,0,5,1,16,2
January 1996,Murray,1,0,0,1,14,40,7
January 1996,Muscogee,0,3,35,31,186,642,78
January 1996,Newton,0,0,3,12,32,111,13
January 1996,Oconee,0,0,0,1,9,25,5
January 1996,Oglethorpe,0,0,0,0,6,0,0
January 1996,Paulding,0,1,0,4,26,81,7
January 1996,Peach,0,0,1,12,20,40,0
January 1996,Pickens,0,0,0,17,7,12,1
January 1996,Pierce,0,0,0,1,8,15,1
January 1996,Pike,0,1,0,0,12,18,3
January 1996,Polk,0,0,1,6,17,88,11
January 1996,Pulaski,0,0,0,5,12,15,0
January 1996,Putnam,0,0,0,4,5,15,2
January 1996,Quitman,0,0,0,3,0,5,0
January 1996,Rabun,0,0,0,11,32,10,2
January 1996,Randolph,0,0,0,1,3,6,0
January 1996,Richmond,2,11,76,72,263,188,227
January 1996,Rockdale,1,2,6,8,32,146,25
January 1996,Schley,0,0,0,3,2,0,0
January 1996,Screven,0,0,1,2,16,15,7
January 1996,Seminole,0,0,0,5,5,26,0
January 1996,Spalding,1,2,7,22,51,146,28
January 1996,Stephens,0,0,1,7,6,40,1
January 1996,Stewart,0,0,0,2,5,0,0
January 1996,Sumter,0,0,2,0,26,129,5
January 1996,Talbot,0,0,0,0,2,0,1
January 1996,Taliaferro,0,0,0,0,0,0,0
January 1996,Tattnall,0,0,0,2,11,28,2
January 1996,Taylor,0,0,0,0,10,4,0
January 1996,Telfair,1,0,0,7,4,8,1
January 1996,Terrell,0,0,3,8,7,24,4
January 1996,Thomas,0,1,11,16,41,104,15
January 1996,Tift,0,1,3,12,37,162,18
January 1996,Toombs,0,0,6,11,17,72,4
January 1996,Towns,0,0,0,0,2,1,0
January 1996,Treutlen,0,0,1,3,2,2,0
January 1996,Troup,0,0,8,37,58,261,47
January 1996,Turner,0,0,0,2,0,9,0
January 1996,Twiggs,0,0,0,2,8,10,1
January 1996,Union,0,0,0,7,5,16,3
January 1996,Upson,0,0,0,4,22,73,8
January 1996,Walker,0,0,0,6,96,162,32
January 1996,Walton,0,2,2,29,25,99,7
