Date,County,Murder,Rape,Robbery,Assault,Burglary,Larceny,Vehicle Theft
January 1990,Appling,0,1,1,3,7,31,2
January 1990,Atkinson,0,0,0,1,7,1,0
January 1990,Bacon,0,0,1,2,7,16,1
January 1990,Baker,0,0,0,3,0,0,0
January 1990,Baldwin,0,0,1,6,13,93,2
January 1990,Banks,0,0,0,0,0,1,0
January 1990,Barrow,1,1,2,3,24,47,8
January 1990,Bartow,0,4,5,6,33,80,16
January 1990,Ben Hill,0,3,1,13,26,46,4
January 1990,Berrien,1,0,1,4,8,16,2
January 1990,Bibb,4,6,26,46,336,857,74
January 1990,Bleckley,0,0,2,2,10,8,2
January 1990,Brantley,0,0,0,1,10,9,0
January 1990,Brooks,2,0,0,3,9,5,0
January 1990,Bryan,0,1,1,3,15,25,4
January 1990,Bulloch,0,0,1,5,45,127,5
January 1990,Burke,0,0,3,4,35,38,3
January 1990,Butts,0,0,0,1,8,4,2
January 1990,Calhoun,0,0,0,0,2,4,0
January 1990,Camden,0,1,1,6,26,38,6
January 1990,Candler,0,0,0,0,7,2,0
January 1990,Carroll,0,5,8,25,124,247,27
January 1990,Catoosa,0,1,4,1,29,65,12
January 1990,Charlton,1,0,0,1,3,6,0
January 1990,Chatham,2,24,74,82,351,986,85
January 1990,Chattahoochee,0,1,0,1,2,1,1
January 1990,Chattooga,0,2,0,0,10,25,7
January 1990,Cherokee,1,2,4,18,96,185,26
January 1990,Clarke,1,4,24,30,168,393,32
January 1990,Clay,0,0,0,0,1,1,0
January 1990,Clayton,0,4,22,35,280,702,117
January 1990,Clinch,0,0,0,0,3,3,0
January 1990,Cobb,5,27,63,116,906,1941,347
January 1990,Coffee,1,3,2,12,41,105,8
January 1990,Colquitt,1,0,2,19,35,54,7
January 1990,Columbia,0,3,4,12,58,48,9
January 1990,Cook,1,0,1,0,13,16,0
January 1990,Coweta,0,0,0,0,1,3,1
January 1990,Crawford,0,0,0,0,5,3,1
January 1990,Crisp,0,3,1,13,43,93,3
January 1990,Dade,0,0,0,1,9,16,5
January 1990,Dawson,0,0,0,6,7,24,5
January 1990,Decatur,2,1,1,9,23,58,7
January 1990,Dekalb,0,34,198,92,1240,2298,661
January 1990,Dodge,0,2,0,5,19,23,0
January 1990,Dooly,0,0,0,0,6,2,1
January 1990,Dougherty,2,8,46,41,201,371,49
January 1990,Douglas,0,1,7,14,69,141,19
January 1990,Early,0,0,0,6,8,21,3
January 1990,Echols,0,0,0,0,1,0,0
January 1990,Effingham,0,0,1,2,19,18,3
January 1990,Elbert,0,1,0,8,15,12,4
January 1990,Emanuel,2,0,5,5,13,48,2
January 1990,Evans,0,0,0,2,6,5,0
January 1990,Fannin,0,0,0,1,14,15,3
January 1990,Fayette,0,0,1,4,23,64,7
January 1990,Floyd,0,4,7,7,125,201,36
January 1990,Forsyth,0,0,1,3,44,64,21
January 1990,Franklin,0,0,3,2,12,14,8
January 1990,Fulton,25,66,652,723,2277,4616,1310
January 1990,Gilmer,0,0,0,0,10,7,0
January 1990,Glascock,0,0,0,0,0,0,0
January 1990,Glynn,0,6,9,31,64,196,18
January 1990,Gordon,1,0,4,7,37,70,12
January 1990,Grady,0,0,1,5,21,39,6
January 1990,Greene,4,0,0,2,17,13,1
January 1990,Gwinnett,1,7,34,42,294,894,140
January 1990,Habersham,0,0,1,1,11,20,1
January 1990,Hall,0,2,11,28,93,245,32
January 1990,Hancock,0,0,0,0,1,2,0
January 1990,Haralson,0,1,3,4,12,20,3
January 1990,Harris,0,3,0,2,22,25,2
January 1990,Hart,0,0,0,4,18,18,1
January 1990,Heard,0,0,0,0,12,15,3
January 1990,Henry,1,0,4,9,56,92,19
January 1990,Houston,1,2,14,44,123,280,22
January 1990,Irwin,0,0,0,2,3,10,3
January 1990,Jackson,0,0,1,8,24,31,5
January 1990,Jasper,0,0,0,0,3,2,2
January 1990,Jeff Davis,0,0,0,3,7,15,0
January 1990,Jefferson,0,0,0,1,16,9,1
January 1990,Jenkins,0,0,1,1,2,14,0
January 1990,Johnson,0,0,0,4,0,0,0
January 1990,Jones,0,0,0,3,18,20,9
January 1990,Lamar,0,0,0,8,15,26,3
January 1990,Lanier,0,1,1,2,11,10,0
January 1990,Laurens,0,0,9,22,32,85,9
January 1990,Lee,0,0,0,2,8,12,0
January 1990,Liberty,2,1,4,3,29,97,14
January 1990,Lincoln,2,0,0,1,3,4,0
January 1990,Long,0,0,0,0,5,8,2
January 1990,Lowndes,2,4,17,16,116,192,18
January 1990,Lumpkin,0,0,0,4,8,28,1
January 1990,Macon,0,0,1,1,13,7,0
January 1990,Madison,0,0,0,0,11,8,3
January 1990,Marion,0,0,0,1,5,1,0
January 1990,McDuffie,0,1,1,0,7,7,3
January 1990,McIntosh,0,0,1,1,6,9,3
January 1990,Meriwether,0,0,1,7,43,21,4
January 1990,Miller,0,0,0,0,0,1,0
January 1990,Mitchell,0,2,5,9,22,29,5
January 1990,Monroe,0,0,0,6,9,30,1
January 1990,Montgomery,0,0,1,1,5,0,1
January 1990,Morgan,0,0,0,2,19,25,4
January 1990,Murray,0,0,0,1,20,15,5
January 1990,Muscogee,0,4,47,45,224,702,49
January 1990,Newton,0,1,3,11,49,120,12
January 1990,Oconee,0,0,0,1,0,8,1
January 1990,Oglethorpe,0,0,1,2,4,5,0
January 1990,Paulding,0,0,0,6,45,37,7
January 1990,Peach,0,1,0,7,12,14,5
January 1990,Pickens,0,0,0,2,18,12,6
January 1990,Pierce,0,0,0,7,8,22,3
January 1990,Pike,0,0,0,0,6,2,0
January 1990,Polk,0,1,8,7,41,39,5
January 1990,Pulaski,0,0,0,4,12,12,0
January 1990,Putnam,0,0,0,0,3,6,0
January 1990,Quitman,0,0,0,0,0,0,0
January 1990,Rabun,0,0,0,0,10,8,0
January 1990,Randolph,0,0,0,0,6,8,2
January 1990,Richmond,2,2,68,48,360,560,90
January 1990,Rockdale,0,0,5,11,42,145,19
January 1990,Schley,0,0,0,1,1,1,0
January 1990,Screven,0,1,0,2,9,7,2
January 1990,Seminole,0,1,0,3,5,13,0
January 1990,Spalding,0,4,17,24,92,171,20
January 1990,Stephens,0,0,3,3,29,68,8
January 1990,Stewart,0,0,1,1,6,3,1
January 1990,Sumter,0,1,5,10,42,89,4
January 1990,Talbot,0,0,0,0,3,0,1
January 1990,Taliaferro,0,0,0,0,3,0,0
January 1990,Tattnall,0,1,1,6,27,15,3
January 1990,Taylor,0,0,0,1,2,5,0
January 1990,Telfair,0,0,0,0,6,6,1
January 1990,Terrell,0,0,1,4,10,17,2
January 1990,Thomas,1,0,16,25,48,117,19
January 1990,Tift,0,0,9,31,44,91,11
January 1990,Toombs,0,0,3,9,25,42,7
January 1990,Towns,0,0,0,0,2,0,0
January 1990,Treutlen,0,0,2,3,4,4,1
January 1990,Troup,1,2,11,14,82,197,9
January 1990,Turner,0,0,1,0,6,14,1
January 1990,Twiggs,0,0,1,0,3,3,0
January 1990,Union,0,0,0,1,10,7,2
January 1990,Upson,0,0,1,16,26,48,2
January 1990,Walker,0,1,3,7,96,112,21
January 1990,Walton,0,0,0,3,34,53,9
January 1990,Ware,0,1,11,13,44,103,9
January 1990,Warren,0,0,0,0,4,1,0
January 1990,Washington,0,0,1,3,23,41,4
January 1990,Wayne,0,0,2,8,26,15,5
January 1990,Webster,0,0,0,0,0,1,0
January 1990,Wheeler,0,0,0,0,3,0,0
January 1990,White,0,0,0,1,12,10,3
January 1990,Whitfield,1,0,7,20,94,214,49
January 1990,Wilcox,0,0,0,0,2,1,0
January 1990,Wilkes,0,0,2,0,5,6,4
January 1990,Wilkinson,0,0,0,0,8,7,0
January 1990,Worth,0,0,1,0,28,23,3
February 1990,Appling,0,0,1,4,10,25,2
February 1990,Atkinson,0,0,0,3,3,2,1
February 1990,Bacon,0,0,0,0,1,3,1
February 1990,Baker,0,0,0,0,3,0,0
February 1990,Baldwin,0,3,3,14,33,99,5
February 1990,Banks,0,0,0,0,2,0,0
February 1990,Barrow,0,0,1,4,17,47,7
February 1990,Bartow,0,0,4,5,48,78,17
February 1990,Ben Hill,1,0,0,10,13,47,6
February 1990,Berrien,0,0,0,2,15,12,1
February 1990,Bibb,2,12,29,54,242,706,74
February 1990,Bleckley,0,0,0,1,1,2,1
February 1990,Brantley,0,0,0,0,4,6,2
February 1990,Brooks,0,0,1,4,10,10,1
February 1990,Bryan,0,0,0,2,8,30,5
February 1990,Bulloch,0,0,1,11,32,131,9
February 1990,Burke,2,1,1,9,30,31,0
February 1990,Butts,0,1,0,1,8,16,2
February 1990,Calhoun,0,0,0,2,3,4,0
February 1990,Camden,0,3,0,6,24,45,5
February 1990,Candler,0,0,0,0,4,6,0
February 1990,Carroll,0,0,8,20,62,182,22
February 1990,Catoosa,0,1,4,7,20,53,13
February 1990,Charlton,0,0,0,1,4,7,0
February 1990,Chatham,3,21,76,61,284,892,77
February 1990,Chattahoochee,0,0,0,0,1,3,2
February 1990,Chattooga,0,1,1,2,11,18,5
February 1990,Cherokee,0,2,1,13,51,131,13
February 1990,Clarke,1,8,16,34,142,387,32
February 1990,Clay,0,0,0,1,1,2,0
February 1990,Clayton,0,7,32,36,255,630,111
February 1990,Clinch,0,0,0,0,3,0,0
February 1990,Cobb,4,13,35,57,411,1185,176
February 1990,Coffee,0,0,4,15,34,76,12
February 1990,Colquitt,0,2,1,19,35,65,12
February 1990,Columbia,0,0,1,9,54,90,5
February 1990,Cook,0,0,2,1,2,4,1
February 1990,Coweta,0,0,5,11,20,46,4
February 1990,Crawford,0,0,0,1,7,6,0
February 1990,Crisp,0,2,2,24,57,58,4
February 1990,Dade,0,0,0,0,3,16,5
February 1990,Dawson,0,0,0,4,8,15,1
February 1990,Decatur,0,0,2,9,27,64,8
February 1990,Dekalb,7,21,175,108,906,2123,597
February 1990,Dodge,2,1,2,2,2,13,0
February 1990,Dooly,0,0,0,0,10,6,3
February 1990,Dougherty,0,12,28,29,201,358,34
February 1990,Douglas,0,1,2,14,49,117,24
February 1990,Early,0,0,0,3,15,18,1
February 1990,Echols,0,0,0,0,1,0,0
February 1990,Effingham,0,0,0,2,10,21,1
February 1990,Elbert,0,0,1,3,16,26,4
February 1990,Emanuel,0,1,3,6,13,38,7
February 1990,Evans,0,0,0,0,7,1,1
February 1990,Fannin,0,0,0,4,8,10,4
February 1990,Fayette,0,0,0,3,16,49,6
February 1990,Floyd,0,3,4,25,108,233,33
February 1990,Forsyth,0,1,2,6,32,63,11
February 1990,Franklin,0,0,4,1,14,10,5
February 1990,Fulton,21,58,565,684,1646,4108,1226
February 1990,Gilmer,0,0,0,0,16,8,4
February 1990,Glascock,0,0,0,0,0,0,0
February 1990,Glynn,0,0,7,27,40,234,23
February 1990,Gordon,0,0,5,4,30,82,4
February 1990,Grady,0,0,2,12,18,31,7
February 1990,Greene,0,0,0,1,7,6,2
February 1990,Gwinnett,0,4,18,27,268,861,113
February 1990,Habersham,1,1,0,0,8,14,3
February 1990,Hall,1,4,0,20,116,228,23
February 1990,Hancock,0,1,1,0,4,1,1
February 1990,Haralson,0,1,0,0,10,11,2
February 1990,Harris,0,0,0,7,15,21,1
February 1990,Hart,0,0,0,5,11,24,2
February 1990,Heard,0,0,0,0,10,17,1
February 1990,Henry,0,0,3,4,54,94,8
February 1990,Houston,0,3,4,39,72,229,9
February 1990,Irwin,1,0,0,0,8,9,3
February 1990,Jackson,0,3,0,3,7,35,5
February 1990,Jasper,1,1,0,0,9,5,1
February 1990,Jeff Davis,0,0,6,0,6,21,3
February 1990,Jefferson,0,0,1,2,16,5,0
February 1990,Jenkins,0,0,0,4,4,7,0
February 1990,Johnson,0,0,0,3,1,2,1
February 1990,Jones,0,0,0,3,7,14,4
February 1990,Lamar,0,0,0,4,9,23,3
February 1990,Lanier,0,0,1,0,3,7,0
February 1990,Laurens,0,1,6,15,26,103,12
February 1990,Lee,0,0,0,1,12,41,5
February 1990,Liberty,0,0,2,5,41,92,8
February 1990,Lincoln,0,0,0,0,1,5,0
February 1990,Long,0,0,0,0,0,4,1
February 1990,Lowndes,0,4,16,19,84,162,36
February 1990,Lumpkin,0,1,0,1,11,11,2
February 1990,Macon,1,0,0,3,1,7,0
February 1990,Madison,0,0,0,1,11,4,1
February 1990,Marion,0,0,0,0,2,3,0
February 1990,McDuffie,0,0,0,0,15,14,3
February 1990,McIntosh,0,0,0,1,9,13,3
February 1990,Meriwether,0,1,1,2,19,12,2
February 1990,Miller,0,0,0,0,0,1,1
February 1990,Mitchell,0,2,0,9,14,27,2
February 1990,Monroe,0,0,3,2,7,40,3
February 1990,Montgomery,0,0,0,0,7,2,0
February 1990,Morgan,0,0,0,2,11,25,1
February 1990,Murray,0,0,0,0,19,13,3
February 1990,Muscogee,1,5,27,33,211,576,55
February 1990,Newton,0,1,3,15,48,101,11
February 1990,Oconee,0,0,1,1,3,9,1
February 1990,Oglethorpe,0,0,0,2,6,10,0
February 1990,Paulding,0,1,0,7,37,49,8
